"","...1","method","dataset","series","time_fit","time_detect","time_detect_RT","time_RT","precision","recall","f1","precision_soft","recall_soft","f1_soft","precision_RT","recall_RT","f1_RT","precision_RT_soft","recall_RT_soft","f1_RT_soft"
"68",68,"fbiad","A3Benchmark","TS7",3.91006469726562e-05,0.0133135318756104,0.00859975814819336,2.79345417022705,0.333333333333333,1,0.5,0.333333333333333,1,0.5,0.4,0.8,0.533333333333333,0.48,0.96,0.64
"69",69,"fbiad","A3Benchmark","TS70",3.55243682861328e-05,0.531277179718018,0.00957846641540527,2.06655478477478,0.363636363636364,0.888888888888889,0.516129032258064,0.363636363636364,0.888888888888889,0.516129032258064,0.409090909090909,1,0.580645161290323,0.409090909090909,1,0.580645161290323
"70",70,"fbiad","A3Benchmark","TS71",3.93390655517578e-05,0.0517923831939697,0.00865006446838379,4.75435471534729,0.846153846153846,0.6875,0.758620689655172,0.846153846153846,0.6875,0.758620689655172,0.464285714285714,0.8125,0.590909090909091,0.55,0.9625,0.7
"71",71,"fbiad","A3Benchmark","TS72",3.45706939697266e-05,0.026219367980957,0.0169129371643066,1.76878905296326,0.111111111111111,0.5,0.181818181818182,0.111111111111111,0.5,0.181818181818182,0.25,0.875,0.388888888888889,0.278571428571429,0.975,0.433333333333333
"72",72,"fbiad","A3Benchmark","TS73",3.45706939697266e-05,0.0130233764648438,0.0172922611236572,2.26207756996155,0.323529411764706,0.733333333333333,0.448979591836735,0.323529411764706,0.733333333333333,0.448979591836735,0.379310344827586,0.733333333333333,0.5,0.462068965517241,0.893333333333333,0.609090909090909
"73",73,"fbiad","A3Benchmark","TS74",3.64780426025391e-05,0.013878345489502,0.00870108604431152,1.77229619026184,0.75,0.5,0.6,0.75,0.5,0.6,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"74",74,"fbiad","A3Benchmark","TS75",3.62396240234375e-05,0.0278215408325195,0.00886082649230957,2.28579068183899,0.523809523809524,0.785714285714286,0.628571428571429,0.523809523809524,0.785714285714286,0.628571428571429,0.416666666666667,0.714285714285714,0.526315789473684,0.55,0.942857142857143,0.694736842105263
"75",75,"fbiad","A3Benchmark","TS76",3.48091125488281e-05,0.013157844543457,0.0163688659667969,2.80388236045837,0.277777777777778,1,0.434782608695652,0.277777777777778,1,0.434782608695652,0.5,1,0.666666666666667,0.5,1,0.666666666666667
"76",76,"fbiad","A3Benchmark","TS77",3.95774841308594e-05,0.0132317543029785,0.00915646553039551,1.44898128509521,1,0.8125,0.896551724137931,1,0.8125,0.896551724137931,0.516129032258065,1,0.680851063829787,0.516129032258065,1,0.680851063829787
"77",77,"fbiad","A3Benchmark","TS78",3.57627868652344e-05,0.0342719554901123,0.022390604019165,3.92213439941406,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.866666666666667,0.464285714285714,0.866666666666667,0.604651162790698,0.521428571428571,0.973333333333333,0.67906976744186
